tableID,problem,title,originalTableNumber,reference
1,Personality Recognition from Online Social Networks,Overview of Various Studies for Personality Recognition from Online Social Networks,1,10.1145/3070645
4,Participatory Design evaluations,A comparison of multiple participatory design evaluations,2,10.1145/2940299.2940303
7,In-Vehicle Light Displays,Overview of methods per system used to develop an in-vehicle light display ,1,10.1145/3003715.3005416
8,Automatic Signature Verification,Overview of offline signature verification systems,"1,2",10.1145/2905055.2905234 
9,Content Distribution in P2P Networks,The Pros and Cons of the various replication techniques of content distribution in Peer to Peer Networks,1,10.1145/2393216.2393259
10,Arabic Opinion Mining ,Summary of Arabic Sentiment Lexicons ,1,10.1145/3295662
11,Fuzzy Service Matching,Aspect-based and Fuzziness-based Classification Approaches in the Context of On-The-Fly Computing ,"1,2",10.1145/2465449.2465454
13,Software Traceability Approaches ,Review of Traceability Approaches between Software Architecture and Source Code,1,10.1145/2601248.2601278
14,Web Service  Reliability,Review of the Reliability of Composite Web Service in Service-Oriented Architecture,1,10.1145/2693208.2693237
16,Blood Glucose Monitoring,Continuous Blood Glucose Monitoring and Suggesting the Quantity of Insulin or Artificial Pancreas (AP) for Diabetic Type 1 Patients overview,2,10.1145/3318299.3318352
17,Crowdfunding for Extracting Feedback,"Overview for Crowdfunding as Feedback Channel 
",3,10.1145/3131085.3131125
18,Model-driven Game Development,Model-driven Game Development approaches ,1,10.1145/3365000
20,Agile Usage,Overview of Empirical Studies on Agile Usage,1,10.1145/2460999.2461016
21,Warehouse Picking Systems acceptance,A Literature Review of the Acceptance of Warehouse Picking Systems ,2,10.1145/3084381.3084409
22,Data Visualization ,Overview of Generic Visualization Systems ,1,"Bikakis, N., & Sellis, T. (2016). Exploration and visualization in the web of big linked data: A survey of the state of the art. arXiv preprint arXiv:1601.08059."
22.1,Data Visualization ,"Overview of Graph-based Visualization Systems 
",2,"Bikakis, N., & Sellis, T. (2016). Exploration and visualization in the web of big linked data: A survey of the state of the art. arXiv preprint arXiv:1601.08059."
23,Utility Sentient Frequent Itemset Mining and Association Rule Mining ,Comparison of Execution times of different Algorithms for mining the frequent itemsets and association rules from large databases ,1,"Shankar, S., & Purusothaman, T. (2009). Utility sentient frequent itemset mining and association rule mining: a literature survey and comparative study. International Journal of Soft Computing Applications, 4(1), 81-95."
23.1,Utility Sentient Frequent Itemset Mining and Association Rule Mining ,"Comparison of Memory Usage of different Algorithms 
for mining the frequent itemsets and association rules from large databases ",2,"Shankar, S., & Purusothaman, T. (2009). Utility sentient frequent itemset mining and association rule mining: a literature survey and comparative study. International Journal of Soft Computing Applications, 4(1), 81-95."
24,Selective Hydrogenation over Supported Metal Catalysts,Catalysts for the Gas-Phase Selective Hydrogenation of Alkynes overview,1,10.1021/acs.chemrev.9b00230
24.1,Selective Hydrogenation over Supported Metal Catalysts,Catalysts for the Liquid-Phase Hydrogenation of Alkynes overview,2,10.1021/acs.chemrev.9b00230
25,Lateral flow (immuno)assay,Overview of lateral flow (immuno)assays: detection of infectious agents,1,10.1007/s00216-008-2287-2
25.1,Lateral flow (immuno)assay,Overview of lateral flow (immuno)assays: detection of metabolic disorders,2,10.1007/s00216-008-2287-2
25.2,Lateral flow (immuno)assay,Overview of lateral flow (immuno)assays: detection of toxic compounds,3,10.1007/s00216-008-2287-2
25.3,Lateral flow (immuno)assay,Overview of lateral flow (immuno)assays: miscellaneous applications,4,10.1007/s00216-008-2287-2
26,Document Structure Analysis Algorithms,Summary of  experiments involving various logical structure analysis algorithms,1,10.1117/12.476326
26.1,Document Structure Analysis Algorithms,Analysis of state-of-the-art document logical structure analysis algorithms,2,10.1117/12.476326
27,Adhesively bonded joints,Summary of both linear and nonlinear two-dimensional analytical models available in the literature,1,10.1016/j.ijadhadh.2008.06.005
28,Factors influencing human comfort,Summary of studies investigating the importance of environmental conditions on overall satisfaction with IEQ.,1,10.1016/j.buildenv.2010.10.021
28.1,Factors influencing human comfort,Summary of studies examining the effects of individual characteristics of building occupants on satisfaction with IEQ.,2,10.1016/j.buildenv.2010.10.021
29,Informal sector ,Overview of informal sector in studies of developed countries ,2,10.1023/B:PUCH.0000044287.88147.5e
29.1,Informal sector ,Overview of informal sector in studies of less developed countries ,3,10.1023/B:PUCH.0000044287.88147.5e
30,Combined inventory management,Characteristics of central papers with instant time horizon.,3,10.1016/j.cor.2009.11.009
30.1,Combined inventory management,Characteristics of central papers with finite time horizon.,4,10.1016/j.cor.2009.11.009
30.2,Combined inventory management,Characteristics of central papers with infinite planning horizon.,5,10.1016/j.cor.2009.11.009
30.3,Combined inventory management,Routing and inventory management aspects of industrial cases.,6,10.1016/j.cor.2009.11.009
31,Chitosan and its antimicrobial potential,Examples of identified chitosanases.,1,10.1111/j.1751-7915.2008.00080.x
31.1,Chitosan and its antimicrobial potential,Overview of Applications of chitosan.,2,10.1111/j.1751-7915.2008.00080.x
32,Sensor networks clustering,Comparison of the first attempts clustering approaches,2,10.1016/j.jnca.2014.09.005
32.1,Sensor networks clustering,Comparison of LEACH-based clustering protocols,3,10.1016/j.jnca.2014.09.005
